subject,predicate,object
Test starter motor solenoid,HAS_RESULT,Solenoid working properly
Starter Motor,DIAGNOSED_BY,Inspect starter motor brushes for wear
Inspect starter motor brushes for wear,HAS_RESULT,Worn brushes
Inspect starter motor brushes for wear,HAS_RESULT,Brushes in good condition
Starter Motor,REQUIRES_FIX,Replace Starter Motor
Electrical System,HAS_COMPONENT,Windshield Washer Pump
Windshield Washer Pump,SHOWS_SYMPTOM,No washer fluid spray
Windshield Washer Pump,SHOWS_SYMPTOM,Weak washer fluid spray
Windshield Washer Pump,DIAGNOSED_BY,Test power to washer pump
Test power to washer pump,HAS_RESULT,No power
Test power to washer pump,HAS_RESULT,Power present
Windshield Washer Pump,DIAGNOSED_BY,Inspect washer pump for clogs or damage
Inspect washer pump for clogs or damage,HAS_RESULT,Clogged/damaged pump
Inspect washer pump for clogs or damage,HAS_RESULT,Clean/intact pump
Windshield Washer Pump,REQUIRES_FIX,Replace Windshield Washer Pump
Electrical System,HAS_COMPONENT,Wiper Motor
Wiper Motor,SHOWS_SYMPTOM,Wipers not working
Wiper Motor,SHOWS_SYMPTOM,Wipers operate intermittently
Wiper Motor,DIAGNOSED_BY,Test power to wiper motor
Test power to wiper motor,HAS_RESULT,No power
Test power to wiper motor,HAS_RESULT,Power present
Wiper Motor,DIAGNOSED_BY,Inspect wiper motor linkage for wear
Inspect wiper motor linkage for wear,HAS_RESULT,Worn linkage
Inspect wiper motor linkage for wear,HAS_RESULT,Intact linkage
Wiper Motor,REQUIRES_FIX,Replace Wiper Motor
Emissions System,HAS_COMPONENT,Canister Purge Valve
Canister Purge Valve,SHOWS_SYMPTOM,Check engine light on
Canister Purge Valve,SHOWS_SYMPTOM,Rough idle
Canister Purge Valve,DIAGNOSED_BY,Test canister purge valve operation
Test canister purge valve operation,HAS_RESULT,Valve stuck open/closed
Test canister purge valve operation,HAS_RESULT,Valve operates correctly
Canister Purge Valve,DIAGNOSED_BY,Check for leaks in purge valve hoses
Check for leaks in purge valve hoses,HAS_RESULT,Leaking hoses
Check for leaks in purge valve hoses,HAS_RESULT,No leaks
Canister Purge Valve,REQUIRES_FIX,Replace Canister Purge Valve
Emissions System,HAS_COMPONENT,Catalytic Converter
Catalytic Converter,SHOWS_SYMPTOM,Rotten egg smell from exhaust
Catalytic Converter,SHOWS_SYMPTOM,Check engine light on
Catalytic Converter,DIAGNOSED_BY,Inspect catalytic converter for physical damage
Inspect catalytic converter for physical damage,HAS_RESULT,Damaged converter
Inspect catalytic converter for physical damage,HAS_RESULT,Converter intact
Catalytic Converter,DIAGNOSED_BY,Check catalytic converter efficiency
Check catalytic converter efficiency,HAS_RESULT,Low efficiency
Check catalytic converter efficiency,HAS_RESULT,High efficiency
Catalytic Converter,REQUIRES_FIX,Replace Catalytic Converter
Emissions System,HAS_COMPONENT,Charcoal Canister
Charcoal Canister,SHOWS_SYMPTOM,Fuel odor from vehicle
Charcoal Canister,SHOWS_SYMPTOM,Check engine light on
Charcoal Canister,DIAGNOSED_BY,Test charcoal canister purge valve
Test charcoal canister purge valve,HAS_RESULT,Valve stuck open/closed
Test charcoal canister purge valve,HAS_RESULT,Valve operates correctly
Charcoal Canister,DIAGNOSED_BY,Inspect canister for cracks or damage
Inspect canister for cracks or damage,HAS_RESULT,Cracked/damaged canister
Inspect canister for cracks or damage,HAS_RESULT,Intact canister
Charcoal Canister,REQUIRES_FIX,Replace Charcoal Canister
Emissions System,HAS_COMPONENT,Exhaust Manifold
Exhaust Manifold,SHOWS_SYMPTOM,Loud exhaust noise
Exhaust Manifold,SHOWS_SYMPTOM,Exhaust smell in cabin
Exhaust Manifold,DIAGNOSED_BY,Inspect exhaust manifold for cracks or leaks
Inspect exhaust manifold for cracks or leaks,HAS_RESULT,Cracked/leaking manifold
Inspect exhaust manifold for cracks or leaks,HAS_RESULT,Intact manifold
Exhaust Manifold,DIAGNOSED_BY,Check exhaust manifold gasket for leaks
Check exhaust manifold gasket for leaks,HAS_RESULT,Leaking gasket
Check exhaust manifold gasket for leaks,HAS_RESULT,Good gasket
Exhaust Manifold,REQUIRES_FIX,Replace Exhaust Manifold
Emissions System,HAS_COMPONENT,Exhaust Manifold Gasket
Exhaust Manifold Gasket,SHOWS_SYMPTOM,Loud exhaust noise
Exhaust Manifold Gasket,SHOWS_SYMPTOM,Visible exhaust leaks
Exhaust Manifold Gasket,DIAGNOSED_BY,Inspect exhaust manifold gasket for leaks
Inspect exhaust manifold gasket for leaks,HAS_RESULT,Leaking gasket
Inspect exhaust manifold gasket for leaks,HAS_RESULT,Good gasket
Exhaust Manifold Gasket,DIAGNOSED_BY,Check exhaust manifold bolts for tightness
Check exhaust manifold bolts for tightness,HAS_RESULT,Loose bolts
Check exhaust manifold bolts for tightness,HAS_RESULT,Tight bolts
Exhaust Manifold Gasket,REQUIRES_FIX,Replace Exhaust Manifold Gasket
Emissions System,HAS_COMPONENT,Fuel Tank Pressure Sensor
Fuel Tank Pressure Sensor,SHOWS_SYMPTOM,Check engine light on
Fuel Tank Pressure Sensor,SHOWS_SYMPTOM,Gas cap warning light
Fuel Tank Pressure Sensor,DIAGNOSED_BY,Test fuel tank pressure sensor
Test fuel tank pressure sensor,HAS_RESULT,Faulty sensor
Test fuel tank pressure sensor,HAS_RESULT,Sensor working properly
Fuel Tank Pressure Sensor,DIAGNOSED_BY,Check fuel tank cap for proper seal
Check fuel tank cap for proper seal,HAS_RESULT,Loose cap
Check fuel tank cap for proper seal,HAS_RESULT,Sealed cap
Fuel Tank Pressure Sensor,REQUIRES_FIX,Replace Fuel Tank Pressure Sensor
Emissions System,HAS_COMPONENT,Knock Sensor
Knock Sensor,SHOWS_SYMPTOM,Engine knocking/pinging
Knock Sensor,SHOWS_SYMPTOM,Poor fuel economy
Knock Sensor,DIAGNOSED_BY,Test knock sensor operation
Test knock sensor operation,HAS_RESULT,Faulty sensor
Test knock sensor operation,HAS_RESULT,Sensor working properly
Knock Sensor,DIAGNOSED_BY,Inspect for engine misfire codes
Inspect for engine misfire codes,HAS_RESULT,Misfire codes present
Inspect for engine misfire codes,HAS_RESULT,No misfire codes
Knock Sensor,REQUIRES_FIX,Replace Knock Sensor
Emissions System,HAS_COMPONENT,M.A.P. Sensor
M.A.P. Sensor,SHOWS_SYMPTOM,Check engine light on
M.A.P. Sensor,SHOWS_SYMPTOM,Rough idle
M.A.P. Sensor,DIAGNOSED_BY,Test M.A.P. sensor voltage
Test M.A.P. sensor voltage,HAS_RESULT,Low voltage
Test M.A.P. sensor voltage,HAS_RESULT,Normal voltage
M.A.P. Sensor,DIAGNOSED_BY,Inspect M.A.P. sensor vacuum hose
Inspect M.A.P. sensor vacuum hose,HAS_RESULT,Leaking hose
Inspect M.A.P. sensor vacuum hose,HAS_RESULT,Intact hose
M.A.P. Sensor,REQUIRES_FIX,Replace M.A.P. Sensor
Emissions System,HAS_COMPONENT,Oxygen Sensor
Oxygen Sensor,SHOWS_SYMPTOM,Check engine light on
Oxygen Sensor,SHOWS_SYMPTOM,Poor fuel economy
Oxygen Sensor,DIAGNOSED_BY,Test oxygen sensor voltage
Test oxygen sensor voltage,HAS_RESULT,Low voltage
Test oxygen sensor voltage,HAS_RESULT,Normal voltage
Oxygen Sensor,DIAGNOSED_BY,Inspect oxygen sensor wiring for damage
Inspect oxygen sensor wiring for damage,HAS_RESULT,Damaged wiring
Inspect oxygen sensor wiring for damage,HAS_RESULT,Intact wiring
Oxygen Sensor,REQUIRES_FIX,Replace Oxygen Sensor
Engine Components,HAS_COMPONENT,Balance Shaft
Balance Shaft,SHOWS_SYMPTOM,Engine vibration
Balance Shaft,SHOWS_SYMPTOM,Rough idle
Balance Shaft,DIAGNOSED_BY,Inspect balance shaft for wear or damage
Inspect balance shaft for wear or damage,HAS_RESULT,Worn/damaged shaft
Inspect balance shaft for wear or damage,HAS_RESULT,Shaft in good condition
Balance Shaft,DIAGNOSED_BY,Check balance shaft alignment
Check balance shaft alignment,HAS_RESULT,Misaligned shaft
Check balance shaft alignment,HAS_RESULT,Properly aligned shaft
Balance Shaft,REQUIRES_FIX,Replace Balance Shaft
Engine Components,HAS_COMPONENT,Boost Pressure
Boost Pressure,SHOWS_SYMPTOM,Loss of power
Boost Pressure,SHOWS_SYMPTOM,Turbo lag
Boost Pressure,DIAGNOSED_BY,Check boost pressure with gauge
Check boost pressure with gauge,HAS_RESULT,Low boost pressure
Check boost pressure with gauge,HAS_RESULT,Normal boost pressure
Boost Pressure,DIAGNOSED_BY,Inspect intercooler for leaks or damage
Inspect intercooler for leaks or damage,HAS_RESULT,Leaking/damaged intercooler
Inspect intercooler for leaks or damage,HAS_RESULT,Intact intercooler
Boost Pressure,REQUIRES_FIX,Replace Boost Pressure
Engine Components,HAS_COMPONENT,Diesel Injection Pump
Diesel Injection Pump,SHOWS_SYMPTOM,Engine misfires
Diesel Injection Pump,SHOWS_SYMPTOM,Black smoke from exhaust
Diesel Injection Pump,DIAGNOSED_BY,Test diesel injection pump pressure
Test diesel injection pump pressure,HAS_RESULT,Low pressure
Test diesel injection pump pressure,HAS_RESULT,Normal pressure
Diesel Injection Pump,DIAGNOSED_BY,Inspect diesel injectors for leaks or clogs
Inspect diesel injectors for leaks or clogs,HAS_RESULT,Leaking/clogged injectors
Inspect diesel injectors for leaks or clogs,HAS_RESULT,Clean/in-tolerance injectors
Diesel Injection Pump,REQUIRES_FIX,Replace Diesel Injection Pump
Engine Components,HAS_COMPONENT,Diesel Glow Plug
Diesel Glow Plug,SHOWS_SYMPTOM,Hard starting in cold weather
Diesel Glow Plug,SHOWS_SYMPTOM,Glow plug indicator light stays on
Diesel Glow Plug,DIAGNOSED_BY,Test glow plug resistance
Test glow plug resistance,HAS_RESULT,High resistance
Test glow plug resistance,HAS_RESULT,Normal resistance
Diesel Glow Plug,DIAGNOSED_BY,Inspect glow plug for carbon buildup
Inspect glow plug for carbon buildup,HAS_RESULT,Carbon buildup
Inspect glow plug for carbon buildup,HAS_RESULT,Clean plug
Diesel Glow Plug,REQUIRES_FIX,Replace Diesel Glow Plug
Engine Components,HAS_COMPONENT,Engine Mounts
Engine Mounts,SHOWS_SYMPTOM,Excessive engine movement
Engine Mounts,SHOWS_SYMPTOM,Clunking noise when accelerating
Engine Mounts,DIAGNOSED_BY,Inspect engine mounts for wear or damage
Inspect engine mounts for wear or damage,HAS_RESULT,Worn/damaged mounts
Inspect engine mounts for wear or damage,HAS_RESULT,Mounts in good condition
Engine Mounts,DIAGNOSED_BY,Check mounting bolts for tightness
Check mounting bolts for tightness,HAS_RESULT,Loose bolts
Check mounting bolts for tightness,HAS_RESULT,Tight bolts
Engine Mounts,REQUIRES_FIX,Replace Engine Mounts
Engine Components,HAS_COMPONENT,Exhaust Valve
Exhaust Valve,SHOWS_SYMPTOM,Engine misfires
Exhaust Valve,SHOWS_SYMPTOM,Rough idle
Exhaust Valve,DIAGNOSED_BY,Inspect exhaust valve for carbon buildup
Inspect exhaust valve for carbon buildup,HAS_RESULT,Buildup on valve
Inspect exhaust valve for carbon buildup,HAS_RESULT,Clean valve
Exhaust Valve,DIAGNOSED_BY,Check valve clearance
Check valve clearance,HAS_RESULT,Incorrect clearance
Check valve clearance,HAS_RESULT,Correct clearance
Exhaust Valve,REQUIRES_FIX,Replace Exhaust Valve
Engine Components,HAS_COMPONENT,Fuel Injector
Fuel Injector,SHOWS_SYMPTOM,Engine misfires
Fuel Injector,SHOWS_SYMPTOM,Poor fuel economy
Fuel Injector,DIAGNOSED_BY,Test fuel injector spray pattern
Test fuel injector spray pattern,HAS_RESULT,Irregular spray pattern
Test fuel injector spray pattern,HAS_RESULT,Uniform spray pattern
Fuel Injector,DIAGNOSED_BY,Inspect injector for leaks or clogs
Inspect injector for leaks or clogs,HAS_RESULT,Leaking/clogged injector
Inspect injector for leaks or clogs,HAS_RESULT,Clean/in-tolerance injector
Fuel Injector,REQUIRES_FIX,Replace Fuel Injector
Engine Components,HAS_COMPONENT,Idle Air Control Valve
Idle Air Control Valve,SHOWS_SYMPTOM,Erratic idle speed
Idle Air Control Valve,SHOWS_SYMPTOM,Stalling at idle
Idle Air Control Valve,DIAGNOSED_BY,Test IAC valve for proper operation
Test IAC valve for proper operation,HAS_RESULT,Valve stuck open/closed
Test IAC valve for proper operation,HAS_RESULT,Valve operates correctly
Idle Air Control Valve,DIAGNOSED_BY,Clean throttle body and IAC valve
Clean throttle body and IAC valve,HAS_RESULT,Dirty components
Clean throttle body and IAC valve,HAS_RESULT,Clean components
Idle Air Control Valve,REQUIRES_FIX,Replace Idle Air Control Valve
Engine Components,HAS_COMPONENT,Intake Valve
Intake Valve,SHOWS_SYMPTOM,Engine misfires
Intake Valve,SHOWS_SYMPTOM,Rough idle
Intake Valve,DIAGNOSED_BY,Inspect intake valve for carbon buildup
Inspect intake valve for carbon buildup,HAS_RESULT,Buildup on valve
Inspect intake valve for carbon buildup,HAS_RESULT,Clean valve
Intake Valve,DIAGNOSED_BY,Check valve clearance
Check valve clearance,HAS_RESULT,Incorrect clearance
Check valve clearance,HAS_RESULT,Correct clearance
Intake Valve,REQUIRES_FIX,Replace Intake Valve
Engine Components,HAS_COMPONENT,Oil Pump
Oil Pump,SHOWS_SYMPTOM,Low oil pressure warning light
Oil Pump,SHOWS_SYMPTOM,Engine knocking noise
Oil Pump,DIAGNOSED_BY,Test oil pressure with gauge
Test oil pressure with gauge,HAS_RESULT,Low oil pressure
Test oil pressure with gauge,HAS_RESULT,Normal oil pressure
Oil Pump,DIAGNOSED_BY,Inspect oil pump for wear or damage
Inspect oil pump for wear or damage,HAS_RESULT,Worn/damaged pump
Inspect oil pump for wear or damage,HAS_RESULT,Pump in good condition
Oil Pump,REQUIRES_FIX,Replace Oil Pump
Engine Components,HAS_COMPONENT,Piston Rings
Piston Rings,SHOWS_SYMPTOM,Blue smoke from exhaust
Piston Rings,SHOWS_SYMPTOM,Loss of engine power
Piston Rings,DIAGNOSED_BY,Perform compression test
Perform compression test,HAS_RESULT,Low compression
Perform compression test,HAS_RESULT,Good compression
Piston Rings,DIAGNOSED_BY,Inspect piston rings for wear or damage
Inspect piston rings for wear or damage,HAS_RESULT,Worn/damaged rings
Inspect piston rings for wear or damage,HAS_RESULT,Rings in good condition
Piston Rings,REQUIRES_FIX,Replace Piston Rings
Engine Components,HAS_COMPONENT,Timing Belt
Timing Belt,SHOWS_SYMPTOM,Engine misfires
Timing Belt,SHOWS_SYMPTOM,Engine won't start
Timing Belt,DIAGNOSED_BY,Inspect timing belt for wear or damage
Inspect timing belt for wear or damage,HAS_RESULT,Worn/damaged belt
Inspect timing belt for wear or damage,HAS_RESULT,Belt in good condition
Timing Belt,DIAGNOSED_BY,Check timing marks for alignment
Check timing marks for alignment,HAS_RESULT,Misaligned timing marks
Check timing marks for alignment,HAS_RESULT,Properly aligned marks
Timing Belt,REQUIRES_FIX,Replace Timing Belt
Engine Components,HAS_COMPONENT,Valve Cover Gasket
Valve Cover Gasket,SHOWS_SYMPTOM,Oil leak around valve cover
Valve Cover Gasket,SHOWS_SYMPTOM,Burning oil smell from engine bay
Valve Cover Gasket,DIAGNOSED_BY,Inspect valve cover gasket for leaks
Inspect valve cover gasket for leaks,HAS_RESULT,Leaking gasket
Inspect valve cover gasket for leaks,HAS_RESULT,Good gasket seal
Valve Cover Gasket,DIAGNOSED_BY,Check valve cover bolts for tightness
Check valve cover bolts for tightness,HAS_RESULT,Loose bolts
Check valve cover bolts for tightness,HAS_RESULT,Tight bolts
Valve Cover Gasket,REQUIRES_FIX,Replace Valve Cover Gasket
Engine Components,HAS_COMPONENT,Fan Belt
Fan Belt,SHOWS_SYMPTOM,Engine overheating
Fan Belt,SHOWS_SYMPTOM,Squealing noise from engine bay
Fan Belt,DIAGNOSED_BY,Inspect fan belt for cuts or wear
Inspect fan belt for cuts or wear,HAS_RESULT,Cut/worn belt
Inspect fan belt for cuts or wear,HAS_RESULT,Belt in good condition
Fan Belt,DIAGNOSED_BY,Check belt tension and alignment
Check belt tension and alignment,HAS_RESULT,Loose/misaligned belt
Check belt tension and alignment,HAS_RESULT,Properly tensioned/aligned belt
Fan Belt,REQUIRES_FIX,Replace Fan Belt
Electrical System,HAS_COMPONENT,Horn
Horn,SHOWS_SYMPTOM,No sound when horn button pressed
Horn,DIAGNOSED_BY,Check horn fuse
Check horn fuse,HAS_RESULT,Blown fuse
Check horn fuse,HAS_RESULT,Fuse intact
Horn,DIAGNOSED_BY,Test horn relay for operation
Test horn relay for operation,HAS_RESULT,Faulty relay
Test horn relay for operation,HAS_RESULT,Relay working properly
Horn,REQUIRES_FIX,Replace Horn
Electrical System,HAS_COMPONENT,Battery Charging
Battery Charging,SHOWS_SYMPTOM,Battery warning light on
Battery Charging,SHOWS_SYMPTOM,Low voltage
Battery Charging,DIAGNOSED_BY,Test battery voltage
Test battery voltage,HAS_RESULT,Low voltage
Test battery voltage,HAS_RESULT,Normal voltage
Battery Charging,DIAGNOSED_BY,Inspect alternator for proper operation
Inspect alternator for proper operation,HAS_RESULT,Faulty alternator
Inspect alternator for proper operation,HAS_RESULT,Alternator working correctly
Battery Charging,REQUIRES_FIX,Replace Battery Charging
Engine Components,HAS_COMPONENT,Engine Belt
Engine Belt,SHOWS_SYMPTOM,Engine performance issues
Engine Belt,SHOWS_SYMPTOM,Squealing noise from engine bay
Engine Belt,DIAGNOSED_BY,Inspect engine belt for cuts or wear
Inspect engine belt for cuts or wear,HAS_RESULT,Cut/worn belt
Inspect engine belt for cuts or wear,HAS_RESULT,Belt in good condition
Engine Belt,DIAGNOSED_BY,Check belt tension and alignment
Check belt tension and alignment,HAS_RESULT,Loose/misaligned belt
Check belt tension and alignment,HAS_RESULT,Properly tensioned/aligned belt
Engine Belt,REQUIRES_FIX,Replace Engine Belt
Steering,HAS_COMPONENT,Steering Noise
Steering Noise,SHOWS_SYMPTOM,Noise when turning steering wheel
Steering Noise,DIAGNOSED_BY,Inspect power steering fluid level
Inspect power steering fluid level,HAS_RESULT,Low fluid level
Inspect power steering fluid level,HAS_RESULT,Sufficient fluid level
Steering Noise,DIAGNOSED_BY,Check power steering pump and hoses for leaks
Check power steering pump and hoses for leaks,HAS_RESULT,Leaking pump/hoses
Check power steering pump and hoses for leaks,HAS_RESULT,Pump and hoses in good condition
Steering Noise,REQUIRES_FIX,Replace Steering Noise
Drivetrain,HAS_COMPONENT,Shaft and Tires
Shaft and Tires,SHOWS_SYMPTOM,Uneven tire wear
Shaft and Tires,SHOWS_SYMPTOM,Vibration while driving
Shaft and Tires,DIAGNOSED_BY,Inspect shaft for balance and alignment
Inspect shaft for balance and alignment,HAS_RESULT,Imbalanced/misaligned shaft
Inspect shaft for balance and alignment,HAS_RESULT,Properly balanced/aligned shaft
Shaft and Tires,DIAGNOSED_BY,Check tire pressure and condition
Check tire pressure and condition,HAS_RESULT,Low/inappropriate pressure
Check tire pressure and condition,HAS_RESULT,Correct tire pressure and condition
Shaft and Tires,REQUIRES_FIX,Replace Shaft and Tires
Engine Compartment,HAS_COMPONENT,Air Filter
Air Filter,SHOWS_SYMPTOM,Decreased engine performance
Air Filter,SHOWS_SYMPTOM,Black smoke from exhaust
Air Filter,DIAGNOSED_BY,Inspect air filter for clogs or dirt
Inspect air filter for clogs or dirt,HAS_RESULT,Clogged/dirty filter
Inspect air filter for clogs or dirt,HAS_RESULT,Clean filter
Air Filter,DIAGNOSED_BY,Replace air filter if necessary
Replace air filter if necessary,HAS_RESULT,Replace filter
Replace air filter if necessary,HAS_RESULT,Filter in good condition
Air Filter,REQUIRES_FIX,Replace Air Filter
Engine Compartment,HAS_COMPONENT,Engine Control Unit (ECU)
Engine Control Unit (ECU),SHOWS_SYMPTOM,Engine misfires
Engine Control Unit (ECU),SHOWS_SYMPTOM,Poor fuel economy
Engine Control Unit (ECU),DIAGNOSED_BY,Check ECU for fault codes
Check ECU for fault codes,HAS_RESULT,Fault codes present
Check ECU for fault codes,HAS_RESULT,No fault codes
Engine Control Unit (ECU),DIAGNOSED_BY,Inspect ECU wiring harness for damage
Inspect ECU wiring harness for damage,HAS_RESULT,Damaged harness
Inspect ECU wiring harness for damage,HAS_RESULT,Intact harness
Engine Control Unit (ECU),REQUIRES_FIX,Replace Engine Control Unit (ECU)
Engine Compartment,HAS_COMPONENT,Engine Oil
Engine Oil,SHOWS_SYMPTOM,Low oil pressure warning light
Engine Oil,SHOWS_SYMPTOM,Loud engine noise
Engine Oil,DIAGNOSED_BY,Check engine oil level and condition
Check engine oil level and condition,HAS_RESULT,Low/dirty oil
Check engine oil level and condition,HAS_RESULT,Clean/sufficient oil
Engine Oil,DIAGNOSED_BY,Inspect for oil leaks
Inspect for oil leaks,HAS_RESULT,Oil leaks present
Inspect for oil leaks,HAS_RESULT,No leaks detected
Engine Oil,REQUIRES_FIX,Replace Engine Oil
Engine Compartment,HAS_COMPONENT,Fuel Filter
Fuel Filter,SHOWS_SYMPTOM,Engine stalls at high speeds
Fuel Filter,SHOWS_SYMPTOM,Poor acceleration
Fuel Filter,DIAGNOSED_BY,Inspect fuel filter for clogs or debris
Inspect fuel filter for clogs or debris,HAS_RESULT,Clogged/dirty filter
Inspect fuel filter for clogs or debris,HAS_RESULT,Clean filter
Fuel Filter,DIAGNOSED_BY,Replace fuel filter if necessary
Replace fuel filter if necessary,HAS_RESULT,Replace filter
Replace fuel filter if necessary,HAS_RESULT,Filter in good condition
Fuel Filter,REQUIRES_FIX,Replace Fuel Filter
Engine Compartment,HAS_COMPONENT,PCV Valve
PCV Valve,SHOWS_SYMPTOM,Oil leaks
PCV Valve,SHOWS_SYMPTOM,Rough idle
PCV Valve,DIAGNOSED_BY,Inspect PCV valve for clogs
Inspect PCV valve for clogs,HAS_RESULT,Clogged valve
Inspect PCV valve for clogs,HAS_RESULT,Valve clear
PCV Valve,DIAGNOSED_BY,Check PCV valve hose for cracks
Check PCV valve hose for cracks,HAS_RESULT,Cracked hose
Check PCV valve hose for cracks,HAS_RESULT,Intact hose
PCV Valve,REQUIRES_FIX,Replace PCV Valve
Engine Compartment,HAS_COMPONENT,Throttle Body
Throttle Body,SHOWS_SYMPTOM,Poor acceleration
Throttle Body,SHOWS_SYMPTOM,Stalling at idle
Throttle Body,DIAGNOSED_BY,Inspect throttle body for carbon buildup
Inspect throttle body for carbon buildup,HAS_RESULT,Buildup present
Inspect throttle body for carbon buildup,HAS_RESULT,Clean throttle body
Throttle Body,DIAGNOSED_BY,Test throttle position sensor (TPS)
Test throttle position sensor (TPS),HAS_RESULT,Faulty TPS
Test throttle position sensor (TPS),HAS_RESULT,TPS working correctly
Throttle Body,REQUIRES_FIX,Replace Throttle Body
Fuel System,HAS_COMPONENT,Fuel Injector
Fuel Injector,SHOWS_SYMPTOM,Engine misfires
Fuel Injector,SHOWS_SYMPTOM,Poor fuel economy
Fuel Injector,DIAGNOSED_BY,Test fuel injector spray pattern
Test fuel injector spray pattern,HAS_RESULT,Irregular spray pattern
Test fuel injector spray pattern,HAS_RESULT,Uniform spray pattern
Fuel Injector,DIAGNOSED_BY,Inspect injector for leaks or clogs
Inspect injector for leaks or clogs,HAS_RESULT,Leaking/clogged injector
Inspect injector for leaks or clogs,HAS_RESULT,Clean/in-tolerance injector
Fuel Injector,REQUIRES_FIX,Replace Fuel Injector
Fuel System,HAS_COMPONENT,Fuel Pressure Regulator
Fuel Pressure Regulator,SHOWS_SYMPTOM,Engine stalls
Fuel Pressure Regulator,SHOWS_SYMPTOM,Black smoke from exhaust
Fuel Pressure Regulator,DIAGNOSED_BY,Test fuel pressure regulator operation
Test fuel pressure regulator operation,HAS_RESULT,Regulator malfunction
Test fuel pressure regulator operation,HAS_RESULT,Regulator functions correctly
Fuel Pressure Regulator,DIAGNOSED_BY,Check fuel pressure at regulator
Check fuel pressure at regulator,HAS_RESULT,Low/high pressure
Check fuel pressure at regulator,HAS_RESULT,Correct pressure
Fuel Pressure Regulator,REQUIRES_FIX,Replace Fuel Pressure Regulator
Fuel System,HAS_COMPONENT,Fuel Pump
Fuel Pump,SHOWS_SYMPTOM,Engine sputters at high speeds
Fuel Pump,SHOWS_SYMPTOM,Loss of power
Fuel Pump,DIAGNOSED_BY,Test fuel pump pressure
Test fuel pump pressure,HAS_RESULT,Low pressure
Test fuel pump pressure,HAS_RESULT,Normal pressure
Fuel Pump,DIAGNOSED_BY,Inspect fuel pump for leaks or damage
Inspect fuel pump for leaks or damage,HAS_RESULT,Leaking/damaged pump
Inspect fuel pump for leaks or damage,HAS_RESULT,Intact pump
Fuel Pump,REQUIRES_FIX,Replace Fuel Pump
Fuel System,HAS_COMPONENT,Fuel Tank
Fuel Tank,SHOWS_SYMPTOM,Fuel odor inside vehicle
Fuel Tank,SHOWS_SYMPTOM,Visible fuel leak under vehicle
Fuel Tank,DIAGNOSED_BY,Inspect fuel tank for leaks or damage
Inspect fuel tank for leaks or damage,HAS_RESULT,Leaking/damaged tank
Inspect fuel tank for leaks or damage,HAS_RESULT,Tank in good condition
Fuel Tank,DIAGNOSED_BY,Check fuel filler cap for seal
Check fuel filler cap for seal,HAS_RESULT,Loose/broken cap
Check fuel filler cap for seal,HAS_RESULT,Cap seals properly
Fuel Tank,REQUIRES_FIX,Replace Fuel Tank
Fuel System,HAS_COMPONENT,Throttle Position Sensor
Throttle Position Sensor,SHOWS_SYMPTOM,Engine hesitates on acceleration
Throttle Position Sensor,SHOWS_SYMPTOM,Stalling at idle
Throttle Position Sensor,DIAGNOSED_BY,Test throttle position sensor (TPS) voltage
Test throttle position sensor (TPS) voltage,HAS_RESULT,Low voltage
Test throttle position sensor (TPS) voltage,HAS_RESULT,Normal voltage
Throttle Position Sensor,DIAGNOSED_BY,Inspect TPS wiring for damage or corrosion
Inspect TPS wiring for damage or corrosion,HAS_RESULT,Damaged/corroded wiring
Inspect TPS wiring for damage or corrosion,HAS_RESULT,Intact wiring
Throttle Position Sensor,REQUIRES_FIX,Replace Throttle Position Sensor
Liquid Systems,HAS_COMPONENT,Brake Fluid
Brake Fluid,SHOWS_SYMPTOM,Soft brake pedal
Brake Fluid,SHOWS_SYMPTOM,Brake warning light on
Brake Fluid,DIAGNOSED_BY,Check brake fluid level and condition
Check brake fluid level and condition,HAS_RESULT,Low/dirty fluid
Check brake fluid level and condition,HAS_RESULT,Clean/sufficient fluid
Brake Fluid,DIAGNOSED_BY,Inspect brake lines for leaks
Inspect brake lines for leaks,HAS_RESULT,Leaking lines
Inspect brake lines for leaks,HAS_RESULT,Lines in good condition
Brake Fluid,REQUIRES_FIX,Replace Brake Fluid
Liquid Systems,HAS_COMPONENT,Coolant Reservoir
Coolant Reservoir,SHOWS_SYMPTOM,Engine overheating
Coolant Reservoir,SHOWS_SYMPTOM,Low coolant warning light
Coolant Reservoir,DIAGNOSED_BY,Check coolant level in reservoir
Check coolant level in reservoir,HAS_RESULT,Low coolant level
Check coolant level in reservoir,HAS_RESULT,Sufficient coolant level
Coolant Reservoir,DIAGNOSED_BY,Inspect reservoir for cracks or leaks
Inspect reservoir for cracks or leaks,HAS_RESULT,Cracked/leaking reservoir
Inspect reservoir for cracks or leaks,HAS_RESULT,Intact reservoir
Coolant Reservoir,REQUIRES_FIX,Replace Coolant Reservoir
Liquid Systems,HAS_COMPONENT,Power Steering Fluid
Power Steering Fluid,SHOWS_SYMPTOM,Whining noise when turning
Power Steering Fluid,SHOWS_SYMPTOM,Stiff steering wheel
Power Steering Fluid,DIAGNOSED_BY,Check power steering fluid level
Check power steering fluid level,HAS_RESULT,Low fluid level
Check power steering fluid level,HAS_RESULT,Sufficient fluid level
Power Steering Fluid,DIAGNOSED_BY,Inspect power steering hoses for leaks
Inspect power steering hoses for leaks,HAS_RESULT,Leaking hoses
Inspect power steering hoses for leaks,HAS_RESULT,Hoses in good condition
